next9-rotation-catalog-v1	9	50	667
000001110001101001110100111011111111	6,8,7;8,6,5;7,5,6;4,7,8;3,8,5,7;4,8,1,6,2,7;5,1,8,0,7,2;0,8,3,4,5,2,6;7,0,6,1,5,4,3	4,7,8
000010110001101010011101010111111111	5,7,8;8,6,5;4,8,7;8,4,6;6,3,8,2,7;0,8,1,6,7;5,1,8,3,4,7;2,8,0,5,6,4;7,2,4,3,6,1,5,0	4,6,8
000010110001101010011101100111111111	5,8,7;8,5,6;4,7,8;7,4,6;6,3,7,2,8;0,7,6,1,8;5,7,3,4,8,1;8,2,4,3,6,5,0;2,7,0,5,1,6,4	4,6,7
000001110001101010011110110011111111	6,8,7;8,6,5;4,7,8;4,8,5,7;2,8,3,7;3,8,1,6,7;5,1,8,0,7;0,8,2,4,3,5,6;7,0,6,1,5,3,4,2	3,7,8
000011010010011100011001111011111111	8,6,5;4,7,8;3,8,7;6,8,2,7;1,8,5,7;4,8,0,6,7;5,0,8,3,7;2,8,1,4,5,6,3;7,2,3,6,0,5,4,1	3,7,8
000001110010011100101011011011111111	6,8,7;4,7,8;8,6,3;2,6,5,8;1,8,5,7;4,8,3,6,7;5,3,2,8,0,7;0,8,1,4,5,6;7,0,6,2,3,5,4,1	3,6,8
000010110010011100101011010111111111	8,5,7;4,8,7;3,8,6;2,6,5,8;7,6,8,1;3,6,7,0,8;8,4,7,5,3,2;5,6,4,1,8,0;1,4,6,2,3,5,0,7	3,6,8
000011010001110010011101110011111111	5,8,6;7,5,6;4,8,7;4,7,6,8;2,7,3,8;6,1,7,8,0;3,7,1,5,0,8;8,5,1,6,3,4,2;0,5,7,2,4,3,6	3,7,8
000011010010011100110001111011111111	8,6,5;4,7,8;3,7,6;6,8,7,2;1,8,5,7;4,8,0,6,7;5,0,8,3,2,7;2,3,8,1,4,5,6;7,3,6,0,5,4,1	3,6,7
000001110010011101100011011011111111	8,7,6;4,7,8;3,6,5;2,5,8,6;7,1,8,5;8,3,2,6,7,4;2,3,8,0,7,5;6,0,8,1,4,5;1,7,0,6,3,5,4	3,5,6
000011100010011100101011011011111111	5,7,6;4,8,7;3,6,8;2,8,5,6;7,5,8,1;8,4,7,0,6,3;2,3,5,0,7,8;6,0,5,4,1,8;1,4,5,3,2,6,7	3,6,8
000001110001101110001100111011111111	6,8,7;8,6,5;3,8,4;4,7,8,2;5,7,3,2,8;6,7,4,8,1;0,7,5,1,8;8,3,4,5,6,0;2,3,7,0,6,1,5,4	3,4,8
000001110001101110010100111011111111	6,7,8;8,5,6;3,7,4;4,8,7,2;5,8,3,2,7;6,1,8,4,7;0,8,1,5,7;2,3,8,0,6,5,4;7,3,4,5,1,6,0	3,4,7
000001110001011010101111101101011111	7,8,6;7,5,8;6,8,4;5,7,6,4;2,8,5,3,6;4,8,1,7,3;0,8,2,4,3,7;1,8,0,6,3,5;5,4,2,6,0,7,1	4,6,8
000010110001110110001101010111111111	5,8,7;7,6,5;4,8,3;2,8,6,4;6,7,8,2,3;0,7,1,6,8;5,1,7,4,3,8;8,4,6,1,5,0;3,2,4,7,0,5,6	3,4,8
000001110001011110100111011110011111	7,8,6;7,5,8;6,3,4;2,6,8,5,4;5,7,6,2,3;3,8,1,7,4;0,8,3,2,4,7;1,8,0,6,4,5;5,3,6,0,7,1	3,4,6
000010110010101100110111101101011111	8,7,5;8,4,6;6,3,7;2,6,4,5,7;5,3,6,1,8;3,4,8,0,7;1,4,3,2,7,8;5,0,8,6,2,3;0,5,4,1,6,7	3,6,7
000001110001011010111110110011011111	6,7,8;5,8,7;6,8,4,7;4,8,5,7;2,8,3,7;3,8,1,7;0,8,2,7;1,8,0,6,2,4,3,5;7,1,5,3,4,2,6,0	2,7,8
000010110010101100111010110111011111	5,8,7;4,8,6;3,7,6,8;5,7,2,8;6,7,8,1;0,7,3,8;2,7,4,1,8;8,4,6,2,3,5,0;1,4,7,0,5,3,2,6	2,7,8
000010110010101001111101110101011111	5,8,7;4,8,6;5,7,6,8;6,7,8,4;3,8,1,6;0,7,2,8;2,7,3,4,1,8;8,3,6,2,5,0;1,4,3,7,0,5,2,6	2,7,8
000100110100101011011011010011111111	4,8,7;6,8,3;4,7,5,8;1,8,5,6;0,7,2,8;2,7,6,3,8;5,7,8,1,3;8,6,5,2,4,0;3,1,6,7,0,4,2,5	2,7,8
000101010101001001111010110111011111	4,8,6;3,5,8;5,7,6,8;1,8,7,5;6,7,8,0;1,3,7,2,8;2,7,4,0,8;8,4,6,2,5,3;0,4,7,3,1,5,2,6	2,7,8
000001110010011101101011101011011111	6,8,7;4,7,8;5,8,6,3;7,5,2,6;1,8,5,7;4,8,2,3,7;2,8,0,7,3;0,8,1,4,5,3,6;7,0,6,2,5,4,1	4,7,8
000101010101010001111010110111011111	4,6,8;3,5,7;5,8,6,7;1,7,8,5;6,0,8,7;1,3,8,2,7;2,8,0,4,7;8,3,1,5,2,6,4;0,6,2,5,3,7,4	2,7,8
000010110001101110011101010110111111	5,7,8;5,8,6;3,8,7,4;6,8,2,4;7,6,3,2;0,8,1,6,7;1,8,3,4,7,5;2,8,0,5,6,4;7,2,3,6,1,5,0	5,6,8
000010110010101101101011100111011111	7,8,5;4,6,8;5,8,6,3;6,7,5,2;1,8,7,6;0,8,2,3,7;2,8,1,4,7,3;4,8,0,5,3,6;6,2,5,0,7,4,1	4,6,8
000100110101100010111011010011111111	4,8,7;3,6,5;4,7,6,8;5,8,6,1;0,7,2,8;6,7,8,3,1;2,7,5,1,3,8;8,5,6,2,4,0;3,5,7,0,4,2,6	2,7,8
000001110001011011101111101100011111	7,8,6;7,5,8;8,5,4,6;4,5,7,6;2,5,3,6;3,4,2,8,1,7;3,7,0,8,2,4;0,6,3,5,1,8;1,5,2,6,0,7	5,7,8
001000111000101001101100111111111011	7,8,3;2,6,8;1,8,5,6;0,8,4,7;6,5,7,3,8;8,7,4,6,2;1,2,5,4,8;4,5,8,0,3;3,0,7,5,2,1,6,4	2,6,8
000001110001011110101110011110011111	7,6,8;7,8,5;3,8,6,4;5,8,2,4;6,7,5,3,2;1,8,3,4,7;2,8,0,7,4;0,8,1,5,4,6;6,2,3,5,1,7,0	5,7,8
000011010100011011110100110111111011	6,8,5;3,7,8;7,4,6,5;1,8,4,7;3,8,6,2,7;0,8,7,2,6;4,8,0,5,2;5,8,1,3,4,2;7,5,0,6,4,3,1	3,7,8
001001011001010001011101011111011111	6,3,8;2,5,7;1,7,8,5;0,6,4,8;5,8,3,6,7;1,2,8,4,7;4,3,0,8,7;8,2,1,5,4,6;3,4,5,2,7,6,0	2,5,7
000010110010101101110101100111111011	8,7,5;8,6,4;3,6,5,7;4,6,2,7;1,6,3,7,8;2,6,8,0,7;5,2,3,4,1,8;5,0,8,4,3,2;0,5,6,1,4,7	4,6,8
000110010100110011110001111011101111	8,5,4;3,7,6;4,5,6,7;1,6,8,7;0,5,2,7,8;6,2,4,0,8;2,5,8,3,1,7;6,1,3,8,4,2;3,6,5,0,4,7	3,6,7
001010011010010010110011010111111111	3,5,8;2,4,7;6,4,1,7;0,8,6,5;8,7,1,2,6;8,0,3,6,7;3,8,4,2,7,5;1,4,8,5,6,2;7,4,6,3,0,5	2,4,7
000001110011001101011111101101001111	6,7,8;4,8,5;5,8,7,3;7,6,4,5,2;6,8,1,5,3;1,8,2,3,4;0,8,4,3,7;2,8,0,6,3;7,2,5,1,4,6,0	4,5,8
000011010110010010111110110011111110	5,8,6;3,7,4;4,7,6,8;5,7,1,4,8;1,7,2,8,3;0,6,7,3,8;2,7,5,0,8;6,2,4,1,3,5;6,0,5,3,4,2	3,4,7
000111001000011100011011111111101101	5,6,4;2,8,7;1,7,3,8;2,7,6,5,8;0,6,7,8,5;3,6,0,4,8;7,4,0,5,3;4,6,3,2,1,8;7,1,2,3,5,4	2,7,8
000010110001111110011101010110011111	5,7,8;5,8,6,7;3,8,7,4;6,8,2,4;7,6,3,2;0,8,1,7;1,8,3,4,7;2,8,0,5,1,6,4;7,2,3,6,1,5,0	1,7,8
000011010010111101011100110011111110	6,5,8;6,8,4,7;3,8,5,7;4,8,2,7;1,8,3,7;2,8,0,6,7;0,8,1,7,5;5,6,1,4,3,2;5,2,3,4,1,6,0	5,6,8
000100110100111101101001011011111101	4,7,8;3,8,7,6;5,8,3,6;2,8,1,6;0,8,5,7;4,8,2,6,7;7,5,2,3,1;1,8,0,4,5,6;7,1,3,2,5,4,0	4,7,8
000101011100011101001010100111111111	4,6,8;7,8,2,3;1,8,5,3;5,7,1,2;0,8,7,6;2,8,6,7,3;5,8,0,4,7;4,8,1,3,5,6;6,5,2,1,7,4,0	4,6,8
000100110101101101110011000111011111	4,8,7;8,6,3,5;3,6,7,5;1,6,2,5;0,7,6,8;7,8,1,3,2;7,2,3,1,8,4;2,6,4,0,8,5;0,4,6,1,5,7	4,7,8
000001110011101101011110101110001111	6,7,8;6,8,5,4;3,5,8,7;4,5,2,7;1,5,3,7,6;8,2,3,4,1;0,8,1,4,7;8,0,6,4,3,2;2,5,1,6,0,7	6,7,8
000001111011001111000111100011101111	7,8,6;2,5,8,4;1,4,3,5;5,2,4,7,6;2,1,8,7,3;6,8,1,2,3;0,8,5,3,7;4,8,0,6,3;5,6,0,7,4,1	6,7,8
000011110010111101011100110011011110	6,8,5,7;6,7,4,8;3,7,5,8;4,7,2,8;1,7,3,8;2,7,0,8;0,7,1,8;5,2,3,4,1,6,0;5,0,6,1,4,3,2	-
000110111100011100101001101101110111	4,5,7,8;2,8,7,3;6,8,1,3;7,6,2,1;0,8,6,5;7,0,4,6;4,8,2,3,7,5;1,8,0,5,6,3;7,1,2,6,4,0	6,7,8
000101110011011101101011100011011110	6,8,4,7;4,8,5,7;3,5,8,6;2,6,7,5;0,8,1,7;1,8,2,3,7;3,2,8,0,7;5,3,6,0,4,1;5,1,4,0,6,2	-
001001111001011011001101011101110101	3,8,7,6;2,5,7,8;4,5,1,8;0,6,4,8;3,6,5,2,8;6,7,1,2,4;7,5,4,3,0;1,5,6,0,8;7,0,3,4,2,1	-
000011110110011111100101011010110011	8,6,5,7;8,7,4,3;3,4,5,6;1,4,2,6,8;7,5,2,3,1;2,4,7,0,6;5,0,8,3,2;5,4,1,8,0;0,7,1,3,6	-
